2004    Chevrolet    Forester [2004-2007]    AWD    2
2004    Fiat    Palio [2001-2005]    1.6 GTX    15
2004    Fiat    Palio [2001-2005]    Adventure 1.6    408
2004    Fiat    Palio [2001-2005]    Adventure 1.9 D    936
2004    Fiat    Palio [2001-2005]    Weekend 1.6    462
2004    Fiat    Palio [2001-2005]    Weekend 1.6 SP    727
2004    Chevrolet    Optra [2003-2005]    1.6    3
2004    Chevrolet    Optra [2003-2005]    1.8    844
2004    Chevrolet    Optra [2003-2005]    LS 1.6    4
2004    Chevrolet    Optra [2003-2005]    LS 1.8    6
2004    Chevrolet    Optra [2003-2005]    LS AT 1.8    845
2004    Chevrolet    Optra [2003-2005]    LT 1.8    5
2004    Chevrolet    Optra [2003-2005]    LT AT 1.8    421
2005    Audi    A6 [2005-2009]    3.0 I Multitronic    503
2006    Audi    A4 [2006-2008]    1.8 T Multitronic    1013
2006    Audi    A4 [2006-2008]    2.0 TDI Multitronic    1012
2004    Chevrolet    Optra [2005-2007]    LT Royale 1.6    587
2004    Chevrolet    Optra [2005-2007]    Max 1.8    846
2005    Audi    A8 L [2004-2011]    4.2 FSI quattro    3615
2004    Ford    Endeavour [2003-2007]    XLT 4X2    416
2004    Ford    Endeavour [2003-2007]    XLT 4X4    417
2006    BMW    5 Series [2007-2010]    520d Sedan    1392
2006    BMW    5 Series [2007-2010]    523i Sedan    496
2006    BMW    5 Series [2007-2010]    525d Sedan    777
2006    BMW    5 Series [2007-2010]    525i Sedan    773
2006    BMW    5 Series [2007-2010]    530i Sedan    494
2006    Audi    A6 [2005-2009]    3.0 I Multitronic    503
2006    Audi    A6 [2005-2009]    3.0 TDI quattro    1226
2006    Audi    A6 [2005-2009]    3.0 TFSI quattro    1573
2005    Fiat    Adventure    Sport 1.6    615
2004    Chevrolet    Tavera    B1 10-Seater - BS II    857
2004    Chevrolet    Tavera    B1 7-Seater - BS II    858
2004    Chevrolet    Tavera    B2 8-Seater - BS II    859
2004    Chevrolet    Tavera    LS - B3 10-Seater - BS II    861
2004    Chevrolet    Tavera    LS - B3 7-Seater - BS II    864
2004    Chevrolet    Tavera    LT - L1 7-Seater - BS II    867
2004    Chevrolet    Tavera    LT - L1 9-Seater - BS II    870
2004    Chevrolet    Tavera    LT - L2 - BS II    873
2004    Chevrolet    Tavera    SS - D1 - BS II    876
2005    Chevrolet    Forester [2004-2007]    AWD    2
2004    Ford    Fusion [2004-2006]    +    413
2004    Ford    Fusion [2004-2006]    + ABS    419
2004    Ford    Fusion [2004-2006]    1.6 Petrol    27
2006    BMW    7 Series [2008-2013]    730Ld Sedan    798
2006    BMW    7 Series [2008-2013]    740Li Sedan    793
2006    Chevrolet    Aveo [2006-2009]    1.4    708
2006    Chevrolet    Aveo [2006-2009]    LS 1.4    709
2006    Chevrolet    Aveo [2006-2009]    LS 1.4 Ltd    1373
2006    Chevrolet    Aveo [2006-2009]    LT 1.6    710
2006    Chevrolet    Aveo [2006-2009]    LT 1.6 Opt    711
2005    Fiat    Palio [2001-2005]    1.6 GTX    15
2004    Fiat    Palio D [2003-2007]    EL 1.9 PS    406
2004    Fiat    Palio D [2003-2007]    ELX 1.9    407
2004    Fiat    Palio D [2003-2007]    ELX 1.9 SP    19
2006    Audi    A8 L [2004-2011]    3.0 TDI quattro    3610
2006    Audi    A8 L [2004-2011]    4.2 FSI quattro    3615
2005    Chevrolet    Optra [2003-2005]    1.6    3
2005    Chevrolet    Optra [2003-2005]    1.8    844
2005    Chevrolet    Optra [2003-2005]    LS 1.6    4
2005    Chevrolet    Optra [2003-2005]    LS 1.8    6
2005    Chevrolet    Optra [2003-2005]    LS AT 1.8    845
2005    Chevrolet    Optra [2003-2005]    LT 1.8    5
2005    Chevrolet    Optra [2003-2005]    LT AT 1.8    421
2004    Honda    Accord [2003-2007]    2.4 VTi-L AT    37
2004    Honda    Accord [2003-2007]    2.4 VTi-L MT    39
2004    Honda    Accord [2003-2007]    3.0 V6 AT    248
2004    Ford    Ikon [2003-2009]    1.3 CLXi NXt    477
2004    Ford    Ikon [2003-2009]    1.3 Flair    414
